,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive_shots,PassDead,Drib_shots,shots_lead_shots,Def_shots,GCA,GCA90,PassLive_goals,Drib_goals,shots_lead_goals,Def_goals,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Top_Team,Strikers
275,Marco Benassi,it ITA,"DF,MF",Fiorentina,it Serie A,26,1.8,1.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,158,0,0,0,0,0,1,0,0,0
276,Marco Benassi,it ITA,MF,Empoli,it Serie A,26,4.2,7.0,1.65,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,382,0,0,0,0,0,1,0,0,0
277,Darío Benedetto,ar ARG,"FW,MF",Elche,es La Liga,31,6.6,12.0,1.84,7.0,0.0,3.0,2.0,0.0,3.0,0.46,2.0,0.0,1.0,0.0,14,6,590,2,1,2,0,0,1,0,0,0
278,Darío Benedetto,ar ARG,"FW,MF",Marseille,fr Ligue 1,31,0.6,1.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,54,0,0,0,0,0,0,0,1,0
279,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,23,2.7,14.0,5.12,6.0,5.0,0.0,1.0,1.0,1.0,0.37,0.0,0.0,1.0,0.0,13,2,246,0,0,0,0,0,0,0,0,0
280,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,37.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,37,37,3330,0,0,0,0,0,2,0,0,0
281,Iker Benito,es ESP,"FW,MF",Osasuna,es La Liga,18,1.3,2.0,1.53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,118,0,0,0,0,0,1,0,0,0
282,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,61,0,0,0,0,0,0,0,0,0
283,Pedro Benito,es ESP,FW,Cádiz,es La Liga,21,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,31,0,0,0,0,0,0,0,0,1
284,Filip Benković,hr CRO,"DF,FW",Udinese,it Serie A,24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,8,0,0,0,0,0,0,0,0,0
286,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,23,16.9,61.0,3.6,44.0,7.0,4.0,1.0,2.0,3.0,0.18,3.0,0.0,0.0,0.0,31,15,1525,2,1,2,0,0,7,0,1,0
287,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,de Bundesliga,22,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,50,0,0,0,0,0,1,0,0,0
288,Saïd Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,25,24.1,75.0,3.11,58.0,0.0,7.0,7.0,0.0,8.0,0.33,7.0,0.0,1.0,0.0,32,26,2168,8,6,8,0,0,0,0,0,0
289,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,26,22.4,30.0,1.34,24.0,2.0,0.0,1.0,2.0,4.0,0.18,3.0,0.0,1.0,0.0,23,22,2020,4,1,2,2,2,6,0,0,0
290,Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,26,16.8,18.0,1.07,15.0,0.0,1.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,18,18,1515,1,0,1,0,0,4,0,0,0
291,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,24,15.1,38.0,2.51,33.0,0.0,1.0,2.0,1.0,7.0,0.46,6.0,0.0,1.0,0.0,17,16,1361,0,4,0,0,0,5,0,1,0
292,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,24,12.8,36.0,2.81,30.0,1.0,0.0,3.0,2.0,3.0,0.23,2.0,0.0,1.0,0.0,19,13,1155,0,1,0,0,0,1,0,1,0
293,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,30,12.7,23.0,1.81,19.0,0.0,1.0,1.0,0.0,2.0,0.16,1.0,0.0,0.0,0.0,25,11,1145,4,1,4,0,0,3,0,0,1
294,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,33,28.8,130.0,4.52,110.0,0.0,12.0,7.0,0.0,22.0,0.77,16.0,5.0,1.0,0.0,32,31,2593,27,12,20,7,11,0,0,1,1
295,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,90,0,0,0,0,0,0,0,0,0
296,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,26,31.3,171.0,5.46,127.0,22.0,8.0,3.0,3.0,22.0,0.7,17.0,1.0,0.0,0.0,33,33,2819,15,14,9,6,6,9,0,0,1
297,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,31,11.3,17.0,1.51,14.0,2.0,0.0,0.0,0.0,3.0,0.27,2.0,0.0,0.0,0.0,14,11,1015,1,2,1,0,0,3,0,0,0
298,Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,26,24.1,77.0,3.2,47.0,16.0,6.0,3.0,1.0,10.0,0.41,6.0,0.0,1.0,1.0,34,24,2168,3,6,3,0,1,8,0,0,0
299,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,32.7,54.0,1.65,39.0,7.0,4.0,2.0,0.0,7.0,0.21,4.0,1.0,0.0,0.0,35,35,2946,0,3,0,0,0,12,0,0,0
300,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,30,12.2,23.0,1.88,16.0,0.0,1.0,4.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,18,13,1102,0,1,0,0,0,2,0,0,0
301,Patrick Berg,no NOR,MF,Lens,fr Ligue 1,23,3.4,5.0,1.47,4.0,0.0,0.0,1.0,0.0,1.0,0.29,1.0,0.0,0.0,0.0,14,2,307,0,0,0,0,0,0,0,0,0
302,Mitchell van Bergen,nl NED,"FW,MF",Reims,fr Ligue 1,21,10.9,27.0,2.47,17.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,11,983,0,0,0,0,0,1,0,0,0
303,Steven Bergwijn,nl NED,"FW,MF",Tottenham,eng Premier League,23,6.3,21.0,3.35,15.0,1.0,2.0,1.0,0.0,3.0,0.48,1.0,1.0,0.0,0.0,25,4,565,3,1,3,0,0,1,0,1,0
304,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,900,0,0,0,0,0,1,0,0,0
305,Valon Berisha,xk KVX,"MF,FW",Reims,fr Ligue 1,28,5.1,10.0,1.98,5.0,4.0,1.0,0.0,0.0,2.0,0.4,1.0,0.0,0.0,0.0,13,5,455,0,1,0,0,0,2,1,0,0
306,Federico Bernardeschi,it ITA,"MF,FW",Juventus,it Serie A,27,16.4,62.0,3.78,40.0,5.0,6.0,8.0,0.0,4.0,0.24,3.0,0.0,1.0,0.0,28,16,1475,1,3,1,0,0,5,0,1,0
307,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,13.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13,1170,0,0,0,0,0,0,0,0,0
308,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,19,1710,0,0,0,0,0,0,0,0,0
309,Juan Bernat,es ESP,"DF,MF",Paris S-G,fr Ligue 1,28,10.6,10.0,0.94,10.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,15,12,958,0,0,0,0,0,2,0,1,0
310,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,9.3,2.0,0.22,2.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,11,9,833,0,0,0,0,0,0,0,0,0
312,Jason Berthomier,fr FRA,MF,Clermont Foot,fr Ligue 1,31,19.2,89.0,4.63,45.0,33.0,5.0,5.0,0.0,9.0,0.47,3.0,0.0,1.0,0.0,29,22,1732,1,5,1,0,0,0,0,0,0
313,Nicolò Bertola,it ITA,"MF,DF",Spezia,it Serie A,18,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,35,0,0,0,0,0,0,0,0,0
314,Ryan Bertrand,eng ENG,DF,Leicester City,eng Premier League,31,3.7,2.0,0.53,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,337,0,0,0,0,0,1,0,0,0
315,Daniel Bessa,it ITA,MF,Hellas Verona,it Serie A,28,8.5,26.0,3.05,25.0,0.0,0.0,1.0,0.0,4.0,0.47,4.0,0.0,0.0,0.0,24,5,768,1,1,1,0,0,5,1,0,0
316,Beto,gw GNB,FW,Udinese,it Serie A,23,24.1,49.0,2.03,31.0,0.0,7.0,9.0,0.0,3.0,0.12,1.0,0.0,2.0,0.0,28,24,2173,11,0,11,0,0,1,0,0,1
317,Louis Beyer,de GER,DF,M'Gladbach,de Bundesliga,21,15.4,24.0,1.56,18.0,1.0,0.0,1.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,17,15,1384,0,0,0,0,0,5,0,0,0
318,Bartosz Bialek,pl POL,"FW,DF",Wolfsburg,de Bundesliga,19,2.0,4.0,2.02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,178,0,0,0,0,0,1,0,0,0
319,Giulian Biancone,fr FRA,"DF,MF",Troyes,fr Ligue 1,21,25.5,45.0,1.77,34.0,1.0,0.0,5.0,1.0,3.0,0.12,2.0,0.0,0.0,0.0,33,26,2292,1,2,1,0,0,10,0,0,0
320,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,31,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,0,0,0,0,0,0,0,0,0
321,Mads Bidstrup,dk DEN,MF,Brentford,eng Premier League,20,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,41,0,0,0,0,0,0,0,0,0
322,Pedro Bigas,es ESP,DF,Elche,es La Liga,30,17.2,12.0,0.7,9.0,0.0,0.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,19,19,1551,1,0,1,0,0,6,0,0,0
323,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,19,13.3,28.0,2.11,21.0,0.0,1.0,3.0,2.0,7.0,0.53,5.0,0.0,2.0,0.0,21,15,1194,2,4,1,1,1,2,0,0,1
324,Jean-Claude Billong,cm CMR,DF,Clermont Foot,fr Ligue 1,27,10.9,4.0,0.37,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,10,980,0,0,0,0,0,2,0,0,0
325,Luis Binks,eng ENG,DF,Bologna,it Serie A,19,7.2,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7,646,0,0,0,0,0,3,0,0,0
326,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,28,35.0,126.0,3.59,64.0,55.0,0.0,6.0,0.0,8.0,0.23,5.0,0.0,0.0,0.0,37,37,3153,4,1,3,1,2,5,1,0,0
