,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive_shots,PassDead,Drib_shots,shots_lead_shots,Def_shots,GCA,GCA90,PassLive_goals,Drib_goals,shots_lead_goals,Def_goals,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Top_Team,Strikers
891,Noah Fatar,fr FRA,"DF,MF",Angers,fr Ligue 1,19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,5,0,0,0,0,0,0,0,0,0
892,Ansu Fati,es ESP,FW,Barcelona,es La Liga,18,3.7,10.0,2.68,6.0,0.0,1.0,0.0,1.0,3.0,0.8,1.0,0.0,0.0,1.0,10,3,336,4,0,4,0,0,0,0,1,1
893,Julien Faussurier,fr FRA,"MF,DF",Brest,fr Ligue 1,34,5.4,20.0,3.67,16.0,3.0,1.0,0.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,16,4,489,0,1,0,0,0,1,0,0,0
894,Andrea Favilli,it ITA,FW,Genoa,it Serie A,24,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,36,0,0,0,0,0,0,0,0,1
895,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,34,15.9,17.0,1.07,13.0,0.0,2.0,2.0,0.0,2.0,0.13,1.0,0.0,1.0,0.0,16,16,1434,1,0,1,0,0,3,1,0,0
896,Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1.3,2.0,1.54,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,117,0,0,0,0,0,1,0,0,0
897,Adrian Fein,de GER,MF,Greuther Fürth,de Bundesliga,22,0.4,2.0,5.63,1.0,0.0,0.0,1.0,0.0,1.0,2.81,0.0,0.0,1.0,0.0,3,0,32,0,0,0,0,0,0,0,0,0
898,Nabil Fekir,fr FRA,MF,Betis,es La Liga,28,31.0,170.0,5.47,84.0,48.0,20.0,4.0,3.0,19.0,0.61,12.0,2.0,0.0,0.0,34,33,2794,6,8,6,0,0,7,1,0,0
899,Felipe,br BRA,DF,Atlético Madrid,es La Liga,32,16.7,11.0,0.66,10.0,0.0,0.0,1.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,26,15,1504,2,1,2,0,0,5,1,1,0
900,Luiz Felipe,it ITA,DF,Lazio,it Serie A,24,27.7,14.0,0.51,12.0,0.0,0.0,0.0,1.0,1.0,0.04,0.0,0.0,0.0,0.0,31,28,2491,0,0,0,0,0,9,1,0,0
901,João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,21,14.0,49.0,3.49,32.0,1.0,7.0,2.0,0.0,9.0,0.64,8.0,1.0,0.0,0.0,24,13,1263,8,4,8,0,0,3,1,1,0
902,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,8.7,5.0,0.57,5.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,13,8,787,0,0,0,0,0,1,0,0,0
903,Kiko Femenía,es ESP,DF,Watford,eng Premier League,30,23.8,45.0,1.89,33.0,11.0,0.0,0.0,0.0,6.0,0.25,5.0,0.0,0.0,0.0,27,26,2142,0,5,0,0,0,2,0,0,0
904,Evan Ferguson,ie IRL,MF,Brighton,eng Premier League,16,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,23,0,0,0,0,0,0,0,0,0
905,Nathan Ferguson,eng ENG,DF,Crystal Palace,eng Premier League,20,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,0,0,0,0,0,0,0,0,0
906,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26,34.6,154.0,4.46,114.0,19.0,5.0,10.0,1.0,11.0,0.32,8.0,1.0,2.0,0.0,36,35,3111,10,6,10,0,2,10,0,1,0
907,Edimilson Fernandes,ch SUI,"MF,FW",Arminia,de Bundesliga,25,3.1,10.0,3.18,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,283,0,0,0,0,0,0,0,0,0
908,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,13.0,3.0,0.23,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13,1166,0,0,0,0,0,1,1,0,0
910,Álex Fernández,es ESP,MF,Cádiz,es La Liga,28,22.8,45.0,1.97,29.0,11.0,0.0,4.0,1.0,3.0,0.13,3.0,0.0,0.0,0.0,32,22,2051,3,2,2,1,2,2,0,0,0
911,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12,1080,0,0,0,0,0,0,0,0,0
912,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,32,5.8,4.0,0.69,1.0,0.0,0.0,3.0,0.0,1.0,0.17,0.0,0.0,1.0,0.0,7,5,523,0,0,0,0,0,0,0,0,0
913,Fernandinho,br BRA,"MF,DF",Manchester City,eng Premier League,36,10.7,30.0,2.8,23.0,0.0,0.0,4.0,0.0,4.0,0.37,4.0,0.0,0.0,0.0,19,10,964,2,1,2,0,0,1,0,1,0
914,Fernando,br BRA,"MF,DF",Sevilla,es La Liga,34,20.6,26.0,1.26,23.0,1.0,0.0,1.0,1.0,4.0,0.19,2.0,0.0,1.0,0.0,24,21,1850,1,1,1,0,0,6,0,0,0
915,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,27,18.3,10.0,0.55,8.0,1.0,0.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,23,20,1643,1,0,1,0,0,4,0,0,0
916,Salvador Ferrer,es ESP,"DF,MF",Spezia,it Serie A,23,16.6,31.0,1.87,25.0,4.0,1.0,0.0,1.0,4.0,0.24,3.0,0.0,0.0,1.0,27,14,1495,0,3,0,0,0,3,0,0,0
917,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29,32.3,89.0,2.75,76.0,2.0,1.0,3.0,1.0,5.0,0.15,5.0,0.0,0.0,0.0,34,33,2911,0,2,0,0,0,13,1,0,0
918,Riccardo Fiamozzi,it ITA,DF,Empoli,it Serie A,28,6.9,9.0,1.3,5.0,3.0,0.0,0.0,1.0,2.0,0.29,1.0,0.0,0.0,0.0,10,7,620,0,1,0,0,0,1,0,0,0
919,Fidel,es ESP,MF,Elche,es La Liga,31,25.1,92.0,3.66,66.0,15.0,6.0,2.0,1.0,11.0,0.44,10.0,0.0,0.0,0.0,33,29,2261,5,6,4,1,1,9,0,0,0
920,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,23,6.2,8.0,1.29,8.0,0.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,16,7,560,0,0,0,0,0,3,0,0,0
921,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32,3.2,6.0,1.85,4.0,0.0,0.0,2.0,0.0,2.0,0.62,1.0,0.0,1.0,0.0,10,3,292,2,1,2,0,0,0,0,0,1
922,Luca Fiordilino,it ITA,MF,Venezia,it Serie A,25,7.3,15.0,2.04,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,661,0,0,0,0,0,2,0,0,0
923,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,90,0,0,0,0,0,0,0,0,0
924,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,29,11.0,40.0,3.64,35.0,0.0,1.0,3.0,0.0,5.0,0.46,4.0,0.0,1.0,0.0,20,10,990,5,4,5,0,0,3,0,1,1
925,Junior Firpo,es ESP,"DF,MF",Leeds United,eng Premier League,24,19.0,52.0,2.73,40.0,4.0,2.0,3.0,0.0,4.0,0.21,2.0,1.0,0.0,0.0,24,19,1711,0,2,0,0,0,11,0,0,0
926,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,32.0,10.0,0.31,9.0,1.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,32,32,2880,0,0,0,0,0,0,0,0,0
927,Ashley Fletcher,eng ENG,FW,Watford,eng Premier League,25,0.3,2.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,30,0,0,0,0,0,0,0,0,1
928,Alexis Flips,fr FRA,"MF,DF",Reims,fr Ligue 1,21,11.7,49.0,4.18,27.0,15.0,3.0,2.0,1.0,4.0,0.34,1.0,0.0,0.0,0.0,25,13,1056,2,4,1,1,1,2,0,0,0
929,Alessandro Florenzi,it ITA,"DF,FW",Milan,it Serie A,30,12.8,34.0,2.65,25.0,6.0,0.0,1.0,1.0,2.0,0.16,2.0,0.0,0.0,0.0,24,12,1152,2,0,2,0,0,2,0,1,0
930,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,21,23.6,89.0,3.76,63.0,13.0,3.0,7.0,1.0,13.0,0.55,8.0,0.0,2.0,0.0,28,24,2128,9,5,9,0,0,1,0,1,1
931,Mamadou Fofana,ml MLI,DF,Metz,fr Ligue 1,23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,33,0,0,0,0,0,0,0,0,0
932,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,26,37.3,118.0,3.16,89.0,0.0,13.0,8.0,1.0,9.0,0.24,7.0,0.0,0.0,1.0,38,38,3357,8,1,8,0,0,2,0,0,0
933,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,20,7.0,4.0,0.57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,630,0,0,0,0,0,2,0,0,0
934,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,22,24.3,53.0,2.18,43.0,0.0,4.0,1.0,3.0,8.0,0.33,7.0,1.0,0.0,0.0,33,23,2190,0,4,0,0,0,4,0,0,0
936,Thomas Foket,be BEL,"DF,FW",Reims,fr Ligue 1,26,24.8,35.0,1.41,29.0,2.0,0.0,0.0,2.0,1.0,0.04,0.0,0.0,0.0,0.0,29,26,2235,1,0,1,0,0,5,0,0,0
937,Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,30,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,167,0,0,0,0,0,1,0,0,0
938,José Fontán,es ESP,DF,Celta Vigo,es La Liga,21,3.1,4.0,1.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,276,0,0,0,0,0,3,0,0,0
939,José Fonte,pt POR,DF,Lille,fr Ligue 1,37,38.0,31.0,0.82,27.0,1.0,0.0,2.0,1.0,5.0,0.13,4.0,0.0,1.0,0.0,38,38,3420,0,2,0,0,0,4,0,0,0
940,Fernando Forestieri,it ITA,"FW,MF",Udinese,it Serie A,31,0.6,4.0,6.32,1.0,1.0,0.0,0.0,0.0,1.0,1.58,0.0,0.0,0.0,0.0,4,0,58,2,1,2,0,0,1,0,0,0
941,Pablo Fornals,es ESP,"FW,MF",West Ham,eng Premier League,25,31.1,108.0,3.48,86.0,9.0,5.0,5.0,1.0,11.0,0.35,9.0,0.0,1.0,0.0,36,32,2795,6,3,6,0,0,4,0,0,0
942,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,29,19.0,56.0,2.96,39.0,8.0,5.0,2.0,0.0,7.0,0.37,4.0,1.0,0.0,0.0,31,20,1706,6,2,2,4,4,2,0,0,0
943,Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,29,17.0,34.0,2.0,31.0,0.0,0.0,3.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,22,17,1530,0,1,0,0,0,5,0,0,0
944,Marcus Forss,fi FIN,"FW,MF",Brentford,eng Premier League,22,2.3,1.0,0.43,0.0,0.0,0.0,1.0,0.0,1.0,0.43,0.0,0.0,1.0,0.0,7,1,209,0,1,0,0,0,0,0,0,0
945,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,19.0,3.0,0.16,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,19,1710,0,0,0,0,0,1,0,0,0
946,Philipp Förster,de GER,"MF,FW",Stuttgart,de Bundesliga,26,10.7,29.0,2.7,22.0,1.0,2.0,4.0,0.0,2.0,0.19,2.0,0.0,0.0,0.0,20,11,967,2,1,2,0,0,4,0,0,0
947,Francesco Forte,it ITA,FW,Venezia,it Serie A,28,4.7,8.0,1.79,5.0,0.0,0.0,2.0,1.0,1.0,0.22,1.0,0.0,0.0,0.0,12,4,422,1,0,1,0,0,3,0,0,1
948,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,90,0,0,0,0,0,0,0,0,0
949,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,26.0,8.0,0.31,8.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,26,26,2340,0,1,0,0,0,0,0,0,0
950,Tariqe Fosu,gh GHA,DF,Brentford,eng Premier League,25,0.2,1.0,5.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,17,0,0,0,0,0,0,0,0,0
951,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23,1.6,2.0,1.24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,145,0,0,0,0,0,0,0,0,0
952,Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,28,2.0,3.0,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,180,0,0,0,0,0,0,0,0,0
953,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,28,26.0,33.0,1.27,21.0,2.0,3.0,2.0,0.0,5.0,0.19,1.0,0.0,0.0,0.0,29,25,2342,0,1,0,0,0,11,0,0,0
954,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,23,21.4,28.0,1.31,26.0,1.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,25,22,1924,1,1,1,0,0,6,1,0,0
955,Gianluca Frabotta,it ITA,"DF,MF",Hellas Verona,it Serie A,22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,20,0,0,0,0,0,0,0,0,0
956,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,25,9.4,21.0,2.23,17.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,9,848,0,0,0,0,0,3,0,0,0
957,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,26,27.2,68.0,2.5,58.0,2.0,4.0,2.0,0.0,8.0,0.29,7.0,0.0,0.0,0.0,37,28,2448,6,5,6,0,0,5,0,0,0
958,Enric Franquesa,es ESP,"DF,FW",Levante,es La Liga,24,6.9,9.0,1.3,8.0,0.0,0.0,1.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,16,6,625,0,0,0,0,0,1,0,0,0
959,Fransérgio,br BRA,MF,Bordeaux,fr Ligue 1,30,14.0,15.0,1.07,12.0,0.0,0.0,2.0,1.0,2.0,0.14,2.0,0.0,0.0,0.0,26,14,1258,0,1,0,0,0,7,0,0,0
960,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,27,16.3,56.0,3.44,34.0,10.0,0.0,6.0,0.0,7.0,0.43,4.0,0.0,1.0,0.0,27,18,1465,2,3,2,0,0,3,0,0,0
962,Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,21,31.7,89.0,2.8,68.0,1.0,8.0,7.0,0.0,8.0,0.25,4.0,1.0,1.0,0.0,36,35,2854,4,3,4,0,0,6,0,0,0
963,Fred,br BRA,MF,Manchester Utd,eng Premier League,28,22.5,56.0,2.49,52.0,0.0,0.0,0.0,0.0,9.0,0.4,8.0,0.0,0.0,0.0,28,24,2028,4,4,4,0,0,5,0,1,0
964,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,28,3.4,4.0,1.17,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,307,0,0,0,0,0,1,0,0,0
965,Morten Frendrup,dk DEN,"DF,MF",Genoa,it Serie A,20,7.7,14.0,1.81,9.0,0.0,1.0,1.0,3.0,2.0,0.26,1.0,0.0,0.0,1.0,10,6,695,0,0,0,0,0,1,0,0,0
966,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,29,26.3,71.0,2.7,61.0,5.0,1.0,2.0,1.0,6.0,0.23,5.0,0.0,0.0,0.0,29,28,2369,1,3,1,0,0,10,0,0,0
967,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,25,6.7,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,600,0,0,0,0,0,1,0,0,0
968,Marvin Friedrich,de GER,DF,Union Berlin,de Bundesliga,25,13.0,10.0,0.77,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13,1169,0,0,0,0,0,4,1,0,0
969,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,20,22.8,54.0,2.37,44.0,1.0,7.0,1.0,0.0,9.0,0.39,9.0,0.0,0.0,0.0,25,25,2052,1,6,1,0,0,6,0,0,0
970,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10,0,0,0,0,0,0,0,1,0
971,Jorge de Frutos,es ESP,"MF,FW",Levante,es La Liga,24,19.6,62.0,3.17,35.0,3.0,13.0,8.0,1.0,12.0,0.61,7.0,2.0,2.0,1.0,25,20,1760,4,7,4,0,0,4,0,0,0
972,Leo Fuhr Hjelde,no NOR,"MF,DF",Leeds United,eng Premier League,17,1.7,3.0,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,150,0,0,0,0,0,0,0,0,0
973,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,23,19.0,64.0,3.36,40.0,13.0,5.0,2.0,0.0,4.0,0.21,1.0,0.0,1.0,0.0,25,21,1714,3,2,3,0,0,3,0,0,0
974,Angelo Fulgini,fr FRA,"MF,FW",Angers,fr Ligue 1,24,32.5,94.0,2.89,63.0,15.0,2.0,6.0,3.0,11.0,0.34,5.0,0.0,2.0,1.0,36,35,2929,5,4,5,0,0,6,0,0,0
975,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,8.0,3.0,0.37,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,720,0,0,0,0,0,0,0,0,0
976,Stephan Fürstner,de GER,MF,Mainz 05,de Bundesliga,33,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,0,0,0,0,0,0,0,0,0
977,Matteo Gabbia,it ITA,DF,Milan,it Serie A,21,6.0,3.0,0.5,3.0,0.0,0.0,0.0,0.0,2.0,0.34,2.0,0.0,0.0,0.0,8,6,537,0,0,0,0,0,3,0,1,0
978,Manolo Gabbiadini,it ITA,"FW,MF",Sampdoria,it Serie A,29,12.7,37.0,2.92,23.0,4.0,0.0,8.0,0.0,4.0,0.32,2.0,0.0,2.0,0.0,18,15,1140,6,2,6,0,0,3,0,0,0
979,Mijat Gaćinović,rs SRB,"FW,MF",Hoffenheim,de Bundesliga,26,1.2,3.0,2.45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,110,0,0,0,0,0,1,0,0,0
980,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,20,0,0,0,0,0,0,0,1,0
981,Luca Gagliano,it ITA,"FW,DF",Cagliari,it Serie A,21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,13,0,0,0,0,0,0,0,0,0
982,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,27,7.2,17.0,2.37,14.0,0.0,0.0,2.0,0.0,2.0,0.28,2.0,0.0,0.0,0.0,18,6,649,2,2,2,0,0,2,0,1,0
983,Riccardo Gagliolo,se SWE,DF,Salernitana,it Serie A,31,12.6,7.0,0.55,3.0,1.0,0.0,2.0,1.0,1.0,0.08,0.0,0.0,1.0,0.0,17,12,1138,0,1,0,0,0,2,0,0,0
984,Javi Galán,es ESP,DF,Celta Vigo,es La Liga,26,36.6,62.0,1.69,50.0,4.0,2.0,1.0,1.0,5.0,0.14,4.0,0.0,1.0,0.0,37,37,3298,0,3,0,0,0,8,0,0,0
985,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,es La Liga,27,15.3,29.0,1.89,23.0,1.0,2.0,1.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,22,17,1378,0,0,0,0,0,4,0,0,0
986,Nicolas Galazzi,it ITA,MF,Venezia,it Serie A,20,0.2,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,16,0,0,0,0,0,0,0,0,0
988,Pablo Galdames Millán,cl CHI,MF,Genoa,it Serie A,24,11.4,29.0,2.53,15.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,11,1028,0,0,0,0,0,2,0,0,0
989,Thiago Galhardo,br BRA,"FW,MF",Celta Vigo,es La Liga,32,12.8,25.0,1.96,19.0,0.0,0.0,5.0,0.0,4.0,0.31,4.0,0.0,0.0,0.0,31,9,1148,2,2,2,0,0,5,0,0,0
990,Conor Gallagher,eng ENG,MF,Crystal Palace,eng Premier League,21,31.6,91.0,2.88,48.0,24.0,3.0,8.0,1.0,10.0,0.32,7.0,2.0,0.0,0.0,34,33,2845,8,3,8,0,0,10,0,0,0
991,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,31.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31,2790,0,0,0,0,0,2,0,0,0
992,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,31,19.1,37.0,1.93,24.0,7.0,1.0,0.0,2.0,4.0,0.21,3.0,0.0,0.0,0.0,23,20,1722,1,0,1,0,0,6,0,0,0
993,Kévin Gameiro,fr FRA,FW,Strasbourg,fr Ligue 1,34,26.5,67.0,2.53,57.0,0.0,0.0,6.0,0.0,9.0,0.34,6.0,0.0,2.0,0.0,35,28,2385,11,3,10,1,3,0,0,0,1
994,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,31,18.2,38.0,2.08,32.0,1.0,1.0,2.0,1.0,3.0,0.16,3.0,0.0,0.0,0.0,26,18,1641,3,1,3,0,0,4,0,1,0
995,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,22,11.4,29.0,2.55,21.0,1.0,3.0,4.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,28,11,1024,5,1,5,0,0,2,0,0,1
996,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,de Bundesliga,25,1.7,2.0,1.18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,153,0,0,0,0,0,0,0,0,1
997,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,28,33.3,91.0,2.73,73.0,4.0,3.0,5.0,2.0,7.0,0.21,5.0,0.0,1.0,0.0,36,34,2998,7,4,7,0,0,6,0,0,0
998,Dani García,es ESP,MF,Athletic Club,es La Liga,31,24.2,31.0,1.28,30.0,0.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,32,27,2177,0,0,0,0,0,9,0,0,0
999,David García,es ESP,DF,Osasuna,es La Liga,27,34.5,29.0,0.84,23.0,2.0,0.0,4.0,0.0,2.0,0.06,1.0,0.0,1.0,0.0,35,35,3105,4,0,4,0,0,8,0,0,0
1000,Eric García,es ESP,DF,Barcelona,es La Liga,20,22.7,27.0,1.19,25.0,1.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,26,23,2039,0,0,0,0,0,5,1,1,0
1001,Francisco Garcia,es ESP,DF,Rayo Vallecano,es La Liga,21,33.6,67.0,1.99,51.0,9.0,3.0,4.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,34,34,3025,1,0,1,0,0,4,0,0,0
1002,Joan García,es ESP,GK,Espanyol,es La Liga,20,1.2,1.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,108,0,0,0,0,0,0,0,0,0
1003,Manu García,es ESP,MF,Alavés,es La Liga,23,12.0,47.0,3.92,26.0,14.0,3.0,1.0,1.0,4.0,0.33,2.0,1.0,0.0,0.0,24,10,1077,0,1,0,0,0,3,0,0,0
1004,Raúl García,es ESP,FW,Athletic Club,es La Liga,35,20.0,52.0,2.6,38.0,0.0,2.0,6.0,0.0,6.0,0.3,6.0,0.0,0.0,0.0,35,24,1802,6,2,6,0,1,3,0,0,1
1005,Rubén García,es ESP,"MF,FW",Osasuna,es La Liga,28,26.4,115.0,4.35,63.0,33.0,5.0,8.0,5.0,12.0,0.45,7.0,0.0,1.0,2.0,37,30,2375,1,6,1,0,2,1,0,0,0
1006,Saúl García,es ESP,MF,Alavés,es La Liga,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,0,0,0,0,0,0,0,0,0
1007,Unai García,es ESP,DF,Osasuna,es La Liga,29,15.6,5.0,0.32,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,15,1408,0,0,0,0,0,5,0,0,0
1008,Alejandro Garnacho,es ESP,"FW,MF",Manchester Utd,eng Premier League,17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,13,0,0,0,0,0,0,0,1,0
1009,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,30,6.9,11.0,1.59,6.0,2.0,1.0,1.0,1.0,1.0,0.14,0.0,0.0,1.0,0.0,12,7,623,0,0,0,0,0,1,0,0,0
1010,Djeidi Gassama,fr FRA,FW,Paris S-G,fr Ligue 1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,1
1011,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,33,30.5,74.0,2.43,54.0,10.0,1.0,5.0,1.0,8.0,0.26,6.0,0.0,0.0,0.0,32,32,2746,0,1,0,0,0,8,2,0,0
1012,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,16,25.7,61.0,2.37,52.0,1.0,5.0,0.0,0.0,16.0,0.62,13.0,2.0,0.0,0.0,34,28,2316,2,5,2,0,0,11,1,1,0
1014,Dwight Gayle,eng ENG,"FW,DF",Newcastle Utd,eng Premier League,30,0.4,3.0,7.11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,38,0,0,0,0,0,1,0,0,0
